RU;44;669;TransparentCalls;0.71;904;26;39
US;21;1544;E-Voice;0.66;447;32;54
GB;25;1250;TransparentCalls;0.89;177;14;35
FR;14;1902;TransparentCalls;0.84;935;89;12
BL;25;1317;E-Voice;0.65;928;9;3
AT;29;980;TransparentCalls;0.81;111;14;11
BG;23;1989;E-Voice;0.73;178;72;51
DK;97;1865;JustPhone;0.71;892;69;15
CA;25;685;JustPhone;0.62;736;17;43
ES;40;423;E-Voice;0.88;187;65;29
CH;24;1143;JustPhone;0.80;212;33;45
TR;90;58;TransparentCalls;0.79;830;39;33
PE;24;1925;JustPhone;0.91;119;58;7
NZ;97;379;JustPhone;0.71;18;29;15
MC;65;857;E-Voice;0.97;287;65;41
